Site Name,Site Address,Town,State,Postcode,24 Hours,98 Octane,Diesel,LPG,E10,Shell Low Aromatic,95 Octane,98 Octane,Premium Diesel,Diesel E10,Adblue At the  Pump,"Adblue 
10L",Truckstop,Carwash,Toilets,Latitude,Longitude
COLES EXPRESS KILLARNEY VALE,102 - 106 WYONG ROAD,KILLARNEY VALE,NSW,2261,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,-33.36698412,151.4648385
COLES EXPRESS KINCUMBER,CNR AVOCA DR & BUNGOONA ST,KINCUMBER,NSW,2251,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,-33.46619646,151.3839286
COLES EXPRESS KINGSFORD,48-56 GARDENERS ROAD,KINGSFORD,NSW,2032,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,-33.92526912,151.2255159
COLES EXPRESS KINGSGROVE,141 KINGSGROVE ROAD,KINGSGROVE,NSW,2208,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.93352834,151.0978211
COLES EXPRESS KIRRAWEE,CNR PRINCES HWY & THE BOULEVARDE,KIRRAWEE,NSW,2232,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,-34.02676203,151.0846475
COLES EXPRESS KOTARA,93 PARK AVE,KOTARA,NSW,2289,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-32.94094521,151.7087535
COLES EXPRESS LAKE MUNMORAH,CNR PACIFIC HWY & BASFORD ROAD,LAKE MUNMORAH,NSW,2259,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,-33.1861602,151.548946
COLES EXPRESS LANE COVE,CNR ALLISON AVE & PACIFIC HIGHWAY,LANE COVE,NSW,2066,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,-33.81408124,151.177239
COLES EXPRESS LANE COVE NORTH,150 EPPING RD,LANE COVE,NSW,2066,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,-33.80487559,151.1473773
COLES EXPRESS LANSVALE,65 HUME HIGHWAY,LANSVALE,NSW,2166,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,-33.89304329,150.9607025
COLES EXPRESS LAWSON,311 GREAT WESTERN HIGHWAY,LAWSON,NSW,2783,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,-33.72183182,150.4257635
