IIT_NE_ID,IIT_INV_TYPE,IIT_PRIMARY_KEY,IIT_ADMIN_UNIT,PLGR_ASSET_ID,PLGR_PARENT_ID,PLGR_NAME,PLGR_TYPE,CONTRACT_UNIT,PLGR_LOCATION,PLGR_UPGRADE
2589223,PLGR,PLGR41,18,PLGR41,UOS9283,,,KAMBAH,BETHUNE CLOSE,
2589225,PLGR,PLGR410,18,PLGR410,UOS7212,,,WESTON,WITHERS PLACE - PEDESTRIAN PARKLAND,
2589228,PLGR,PLGR411,18,PLGR411,UOS1406,,,DUNLOP,QUINLIVAN CRESCENT,
2589230,PLGR,PLGR412,18,PLGR412,UOS1757,,,DUNLOP,EVELYN OWEN CRESCENT,
2589232,PLGR,PLGR413,18,PLGR413,UOS12778,,,BANKS,POCKETT AVENUE,
2589236,PLGR,PLGR414,18,PLGR414,UOS5470,,,DEAKIN,DENISON STREET - PEDESTRIAN PARKLAND,
2589237,PLGR,PLGR415,18,PLGR415,UOS1501,,,DUNLOP,SHOOBRIDGE CIRCUIT,
2589241,PLGR,PLGR416,18,PLGR416,UOS7691,,,CHAPMAN,CHAUVEL CIRCLE - NEIGHBOURHOOD PARK,
2589242,PLGR,PLGR417,18,PLGR417,PUBP65,,,GREENWAY,TUGGERANONG TOWN CENTRE,
2589243,PLGR,PLGR418,18,PLGR418,UOS1602,,,CHARNWOOD,DEAN PLACE,
2589244,PLGR,PLGR419,18,PLGR419,UOS4445,,,HAWKER,MATARANKA STREET,
2589246,PLGR,PLGR42,18,PLGR42,UOS4718,,,MACQUARIE,ALLMAN CIRCUIT,
2589250,PLGR,PLGR421,18,PLGR421,UOS5091,,,YARRALUMLA,WESTON PARK,
2589254,PLGR,PLGR43,18,PLGR43,PUBP27,,,MACQUARIE,JAMISON CENTRE,
2589255,PLGR,PLGR44,18,PLGR44,UOS4702,,,MACQUARIE,BADGERY STREET,
2589256,PLGR,PLGR440,18,PLGR440,UOS4693,,,MACQUARIE,BLACKMAN CRESCENT ROAD VERGE,
2589266,PLGR,PLGR443,18,PLGR443,UOS2648,,,EVATT,LEVINE STREET NEIGHBOURHOOD PARK,
2589268,PLGR,PLGR445,18,PLGR445,UOS1368,,,HALL,HALL PARK,
2589269,PLGR,PLGR447,18,PLGR447,UOS2541,,,MACGREGOR,HARPER STREET PEDESTRIAN PARKLAND,
2589270,PLGR,PLGR448,18,PLGR448,UOS363,,,NGUNNAWAL,VIOLETS PARK,
2589275,PLGR,PLGR449,18,PLGR449,UOS958,,,PALMERSTON,BIMBERI CRESCENT NEIGHBOURHOOD PARK,
2589276,PLGR,PLGR45,18,PLGR45,UOS4482,,,MACQUARIE,WYLDE PLACE,
2589277,PLGR,PLGR450,18,PLGR450,UOS1045,,,PALMERSTON,ROAD VERGE - SPEC PLACE,
2589279,PLGR,PLGR451,18,PLGR451,UOS1048,,,PALMERSTON,KOSCIUSZKO AVENUE NEIGHBOURHOOD PARK,
2589281,PLGR,PLGR452,18,PLGR452,UOS1008,,,PALMERSTON,WEDDIN CIRCUIT NEIGHBOURHOOD PARK,
2589283,PLGR,PLGR453,18,PLGR453,UOS892,,,PALMERSTON,HAYSTACK CRESCENT PEDESTRIAN PARKLAND,
2589285,PLGR,PLGR454,18,PLGR454,UOS262,,,NGUNNAWAL,ROAD VERGE - WELLINGTON STREET,
2589287,PLGR,PLGR455,18,PLGR455,UOS268,,,NGUNNAWAL,HOMESTEAD PARK,
2589291,PLGR,PLGR457,18,PLGR457,UOS487,,,NGUNNAWAL,NOBLE CLOSE NEIGHBOURHOOD PARK,
2589293,PLGR,PLGR458,18,PLGR458,UOS696,,,NICHOLLS,BLACKLOCK CLOSE NEIGHBOURHOOD PARK,
2589295,PLGR,PLGR459,18,PLGR459,UOS869,,,PALMERSTON,SONDER CLOSE NEIGHBOURHOOD PARK,
2589297,PLGR,PLGR46,18,PLGR46,PUBP25,,,MACQUARIE,MACQUARIE PLACE,
2589299,PLGR,PLGR460,18,PLGR460,UOS232,,,AMAROO,CORRINGLE CLOSE NEIGHBOURHOOD PARK,
2589302,PLGR,PLGR461,18,PLGR461,UOS321,,,AMAROO,ROAD VERGE - MIRRABEI DRIVE,
2589304,PLGR,PLGR462,18,PLGR462,UOS1258,,,NICHOLLS,METCALFE STREET - ROAD VERGE,
2589306,PLGR,PLGR463,18,PLGR463,UOS49,,,NGUNNAWAL,ITERRA GROVE NEIGHBOURHOOD PARK,
